"channel","delta_t","value","temp","coral_id"
"6","0.000",77.282,28.559,"44"
"6","0.047",77.273,28.553,"44"
"6","0.097",77.226,28.566,"44"
"6","0.147",77.219,28.566,"44"
"6","0.197",77.18,28.566,"44"
"6","0.247",77.166,28.566,"44"
"6","0.297",77.157,28.559,"44"
"6","0.347",77.163,28.559,"44"
"6","0.397",77.127,28.566,"44"
"6","0.447",77.127,28.566,"44"
"6","0.497",77.1,28.566,"44"
"6","0.547",77.1,28.566,"44"
"6","0.597",77.054,28.566,"44"
"6","0.647",77.067,28.566,"44"
"6","0.697",77.047,28.566,"44"
"6","0.747",77.037,28.572,"44"
"6","0.797",77.027,28.578,"44"
"6","0.847",77.025,28.559,"44"
"6","0.897",77.014,28.566,"44"
"6","0.947",76.998,28.572,"44"
"6","0.998",76.984,28.572,"44"
"6","1.047",76.975,28.566,"44"
"6","1.097",76.958,28.572,"44"
"6","1.147",76.978,28.559,"44"
"6","1.197",76.955,28.566,"44"
"6","1.247",76.945,28.572,"44"
"6","1.297",76.948,28.566,"44"
"6","1.347",76.932,28.572,"44"
"6","1.397",76.902,28.578,"44"
"6","1.447",76.905,28.572,"44"
"6","1.497",76.899,28.572,"44"
"6","1.547",76.879,28.572,"44"
"6","1.597",76.879,28.572,"44"
"6","1.647",76.872,28.572,"44"
"6","1.697",76.856,28.578,"44"
"6","1.747",76.842,28.578,"44"
"6","1.797",76.859,28.572,"44"
"6","1.847",76.833,28.572,"44"
"6","1.897",76.836,28.578,"44"
"6","1.947",76.806,28.584,"44"
"6","1.997",76.826,28.584,"44"
"6","2.047",76.807,28.572,"44"
"6","2.097",76.8,28.572,"44"
"6","2.147",76.79,28.578,"44"
"6","2.197",76.803,28.578,"44"
"6","2.247",76.773,28.584,"44"
"6","2.297",76.78,28.584,"44"
"6","2.347",76.783,28.578,"44"
"6","2.397",76.74,28.584,"44"
"6","2.447",76.747,28.584,"44"
"6","2.497",76.727,28.584,"44"
"6","2.547",76.737,28.578,"44"
"6","2.597",76.727,28.584,"44"
"6","2.647",76.724,28.59,"44"
"6","2.697",76.71,28.59,"44"
"6","2.747",76.714,28.584,"44"
"6","2.797",76.704,28.59,"44"
"6","2.847",76.687,28.596,"44"
"6","2.897",76.684,28.59,"44"
"6","2.947",76.684,28.59,"44"
"6","2.997",76.668,28.596,"44"
"6","3.047",76.658,28.59,"44"
"6","3.097",76.668,28.596,"44"
"6","3.147",76.628,28.596,"44"
"6","3.197",76.622,28.596,"44"
"6","3.247",76.615,28.596,"44"
"6","3.297",76.631,28.603,"44"
"6","3.347",76.645,28.59,"44"
"6","3.397",76.585,28.603,"44"
"6","3.447",76.635,28.596,"44"
"6","3.497",76.595,28.596,"44"
"6","3.547",76.615,28.596,"44"
"6","3.597",76.608,28.596,"44"
"6","3.647",76.575,28.609,"44"
"6","3.697",76.582,28.609,"44"
"6","3.747",76.579,28.603,"44"
"6","3.797",76.576,28.596,"44"
"6","3.847",76.579,28.603,"44"
"6","3.897",76.529,28.609,"44"
"6","3.947",76.559,28.603,"44"
"6","3.997",76.562,28.609,"44"
"6","4.047",76.546,28.603,"44"
"6","4.097",76.542,28.609,"44"
"6","4.147",76.529,28.609,"44"
"6","4.197",76.523,28.609,"44"
"6","4.247",76.51,28.609,"44"
"6","4.297",76.51,28.609,"44"
"6","4.347",76.493,28.615,"44"
"6","4.397",76.506,28.615,"44"
"6","4.447",76.493,28.615,"44"
"6","4.497",76.513,28.615,"44"
"6","4.547",76.466,28.627,"44"
"6","4.597",76.463,28.621,"44"
"6","4.647",76.454,28.615,"44"
"6","4.697",76.444,28.621,"44"
"6","4.747",76.46,28.627,"44"
"6","4.797",76.431,28.621,"44"
"6","4.847",76.45,28.621,"44"
"6","4.897",76.437,28.621,"44"
"6","4.947",76.431,28.621,"44"
"6","4.997",76.437,28.621,"44"
"6","5.047",76.424,28.621,"44"
"6","5.097",76.431,28.621,"44"
"6","5.147",76.414,28.627,"44"
"6","5.197",76.401,28.627,"44"
"6","5.247",76.397,28.633,"44"
"6","5.297",76.391,28.633,"44"
"6","5.347",76.407,28.627,"44"
"6","5.397",76.378,28.633,"44"
"6","5.447",76.361,28.64,"44"
"6","5.497",76.368,28.64,"44"
"6","5.547",76.375,28.627,"44"
"6","5.597",76.378,28.633,"44"
"6","5.647",76.371,28.633,"44"
"6","5.697",76.352,28.633,"44"
"6","5.747",76.352,28.633,"44"
"6","5.797",76.319,28.633,"44"
"6","5.847",76.355,28.64,"44"
"6","5.897",76.345,28.633,"44"
"6","5.947",76.325,28.646,"44"
"6","5.997",76.342,28.64,"44"
"6","6.047",76.335,28.64,"44"
"6","6.097",76.309,28.64,"44"
"6","6.147",76.325,28.646,"44"
"6","6.197",76.322,28.64,"44"
"6","6.247",76.292,28.646,"44"
"6","6.297",76.292,28.646,"44"
"6","6.347",76.279,28.646,"44"
"6","6.397",76.266,28.658,"44"
"6","6.447",76.276,28.652,"44"
"6","6.497",76.272,28.658,"44"
"6","6.547",76.289,28.652,"44"
"6","6.597",76.282,28.652,"44"
"6","6.647",76.279,28.646,"44"
"6","6.697",76.266,28.658,"44"
"6","6.747",76.259,28.658,"44"
"6","6.797",76.263,28.652,"44"
"6","6.847",76.266,28.658,"44"
"6","6.897",76.216,28.664,"44"
"6","6.947",76.272,28.658,"44"
"6","6.997",76.259,28.658,"44"
"6","7.047",76.236,28.664,"44"
"6","7.097",76.259,28.658,"44"
"6","7.147",76.213,28.67,"44"
"6","7.197",76.23,28.664,"44"
"6","7.247",76.197,28.664,"44"
"6","7.297",76.223,28.664,"44"
"6","7.347",76.213,28.67,"44"
"6","7.397",76.203,28.664,"44"
"6","7.447",76.246,28.658,"44"
"6","7.497",76.24,28.646,"44"
"6","7.547",76.221,28.646,"44"
"6","7.597",76.22,28.658,"44"
"6","7.647",76.21,28.664,"44"
"6","7.697",76.194,28.658,"44"
"6","7.747",76.216,28.664,"44"
"6","7.797",76.203,28.664,"44"
"6","7.847",76.22,28.658,"44"
"6","7.897",76.203,28.664,"44"
"6","7.947",76.216,28.664,"44"
"6","7.997",76.227,28.658,"44"
"6","8.047",76.177,28.664,"44"
"6","8.097",76.151,28.676,"44"
"6","8.147",76.174,28.67,"44"
"6","8.197",76.147,28.683,"44"
"6","8.247",76.18,28.67,"44"
"6","8.297",76.177,28.676,"44"
"6","8.347",76.18,28.67,"44"
"6","8.397",76.183,28.676,"44"
"6","8.447",76.157,28.676,"44"
"6","8.497",76.151,28.676,"44"
"6","8.547",76.177,28.676,"44"
"6","8.597",76.147,28.683,"44"
"6","8.647",76.141,28.683,"44"
"6","8.697",76.147,28.683,"44"
"6","8.747",76.141,28.683,"44"
"6","8.797",76.144,28.689,"44"
"6","8.847",76.128,28.683,"44"
"6","8.897",76.131,28.689,"44"
"6","8.947",76.131,28.689,"44"
"6","8.997",76.124,28.689,"44"
"6","9.047",76.124,28.689,"44"
"6","9.097",76.16,28.683,"44"
"6","9.147",76.127,28.695,"44"
"6","9.197",76.124,28.689,"44"
"6","9.247",76.101,28.695,"44"
"6","9.297",76.121,28.695,"44"
"6","9.347",76.078,28.701,"44"
"6","9.397",76.127,28.695,"44"
"6","9.447",76.114,28.695,"44"
"6","9.497",76.088,28.707,"44"
"6","9.547",76.091,28.701,"44"
"6","9.597",76.075,28.707,"44"
"6","9.647",76.094,28.707,"44"
"6","9.697",76.088,28.707,"44"
"6","9.747",76.091,28.701,"44"
"6","9.797",76.114,28.707,"44"
"6","9.847",76.048,28.72,"44"
"6","9.897",76.058,28.713,"44"
"6","9.947",76.094,28.707,"44"
"6","9.997",76.078,28.713,"44"
"6","10.047",76.091,28.713,"44"
"6","10.097",76.084,28.713,"44"
"6","10.147",76.084,28.713,"44"
"6","10.197",76.071,28.713,"44"
"6","10.247",76.071,28.713,"44"
"6","10.297",76.058,28.713,"44"
"6","10.347",76.074,28.72,"44"
"6","10.397",76.058,28.713,"44"
"6","10.447",76.07,28.726,"44"
"6","10.497",76.074,28.72,"44"
"6","10.547",76.064,28.726,"44"
"6","10.597",76.064,28.726,"44"
"6","10.647",76.064,28.726,"44"
"6","10.697",76.051,28.726,"44"
"6","10.747",76.037,28.738,"44"
"6","10.797",76.041,28.732,"44"
"6","10.847",76.047,28.732,"44"
"6","10.897",76.027,28.744,"44"
"6","10.947",76.044,28.738,"44"
"6","10.997",76.067,28.732,"44"
"6","11.047",76.044,28.738,"44"
"6","11.097",76.07,28.738,"44"
"6","11.147",76.037,28.738,"44"
"6","11.198",76.044,28.738,"44"
"6","11.247",76.021,28.744,"44"
"6","11.297",76.044,28.738,"44"
"6","11.347",76.06,28.744,"44"
"6","11.397",76.037,28.75,"44"
"6","11.447",76.06,28.744,"44"
"6","11.497",76.056,28.75,"44"
"6","11.547",76.053,28.744,"44"
"6","11.597",76.047,28.744,"44"
"6","11.647",76.01,28.763,"44"
"6","11.697",76.046,28.757,"44"
"6","11.747",76.043,28.75,"44"
"6","11.797",76.037,28.75,"44"
"6","11.847",76.046,28.757,"44"
"6","11.897",76.033,28.757,"44"
"6","11.947",76.03,28.763,"44"
"6","11.997",76.036,28.763,"44"
"6","12.047",76.072,28.757,"44"
"6","12.097",76.03,28.763,"44"
"6","12.147",76.043,28.763,"44"
"6","12.197",76.043,28.763,"44"
"6","12.247",76.049,28.763,"44"
"6","12.297",76.02,28.769,"44"
"6","12.347",76.036,28.763,"44"
"6","12.397",76.023,28.775,"44"
"6","12.447",76.023,28.775,"44"
"6","12.497",76.069,28.763,"44"
"6","12.547",76.036,28.775,"44"
"6","12.597",76.026,28.781,"44"
"6","12.647",76.049,28.775,"44"
"6","12.697",76.045,28.781,"44"
"6","12.747",76.062,28.775,"44"
"6","12.797",76.058,28.781,"44"
"6","12.847",76.052,28.781,"44"
"6","12.897",76.055,28.775,"44"
"6","12.947",76.029,28.787,"44"
"6","12.997",76.052,28.781,"44"
"6","13.047",76.032,28.781,"44"
"6","13.097",76.035,28.787,"44"
"6","13.147",76.052,28.781,"44"
"6","13.197",76.055,28.787,"44"
"6","13.247",76.055,28.787,"44"
"6","13.297",76.068,28.787,"44"
"6","13.347",76.051,28.794,"44"
"6","13.397",76.068,28.787,"44"
"6","13.447",76.064,28.794,"44"
"6","13.497",76.048,28.8,"44"
"6","13.547",76.041,28.8,"44"
"6","13.597",76.067,28.8,"44"
"6","13.647",76.057,28.806,"44"
"6","13.697",76.08,28.8,"44"
"6","13.747",76.041,28.812,"44"
"6","13.797",76.057,28.806,"44"
"6","13.847",76.047,28.812,"44"
"6","13.897",76.08,28.8,"44"
"6","13.947",76.064,28.806,"44"
"6","13.997",76.07,28.806,"44"
"6","14.047",76.083,28.806,"44"
"6","14.097",76.112,28.812,"44"
"6","14.147",76.05,28.818,"44"
"6","14.197",76.089,28.818,"44"
"6","14.247",76.08,28.812,"44"
"6","14.297",76.057,28.818,"44"
"6","14.347",76.089,28.818,"44"
"6","14.397",76.102,28.818,"44"
"6","14.447",76.102,28.818,"44"
"6","14.497",76.066,28.824,"44"
"6","14.547",76.086,28.824,"44"
"6","14.597",76.089,28.831,"44"
"6","14.647",76.095,28.831,"44"
"6","14.697",76.085,28.837,"44"
"6","14.747",76.069,28.831,"44"
"6","14.797",76.102,28.831,"44"
"6","14.847",76.115,28.831,"44"
"6","14.897",76.085,28.837,"44"
"6","14.947",76.092,28.837,"44"
"6","14.997",76.111,28.837,"44"
"6","15.047",76.102,28.831,"44"
"6","15.097",76.108,28.843,"44"
"6","15.147",76.114,28.843,"44"
"6","15.197",76.091,28.849,"44"
"6","15.247",76.108,28.843,"44"
"6","15.297",76.114,28.843,"44"
"6","15.347",76.111,28.849,"44"
"6","15.397",76.107,28.855,"44"
"6","15.447",76.121,28.843,"44"
"6","15.497",76.13,28.849,"44"
"6","15.547",76.114,28.855,"44"
"6","15.597",76.12,28.855,"44"
"6","15.647",76.104,28.861,"44"
"6","15.697",76.13,28.861,"44"
"6","15.747",76.117,28.861,"44"
"6","15.797",76.127,28.855,"44"
"6","15.847",76.117,28.861,"44"
"6","15.897",76.143,28.861,"44"
"6","15.947",76.113,28.868,"44"
"6","15.997",76.123,28.874,"44"
"6","16.047",76.162,28.861,"44"
"6","16.097",76.126,28.868,"44"
"6","16.147",76.159,28.868,"44"
"6","16.197",76.152,28.868,"44"
"6","16.247",76.152,28.88,"44"
"6","16.297",76.129,28.88,"44"
"6","16.347",76.116,28.886,"44"
"6","16.397",76.135,28.886,"44"
"6","16.447",76.148,28.886,"44"
"6","16.497",76.129,28.886,"44"
"6","16.547",76.135,28.886,"44"
"6","16.597",76.155,28.886,"44"
"6","16.647",76.188,28.886,"44"
"6","16.697",76.188,28.886,"44"
"6","16.747",76.138,28.892,"44"
"6","16.797",76.178,28.892,"44"
"6","16.847",76.164,28.892,"44"
"6","16.897",76.161,28.898,"44"
"6","16.947",76.154,28.898,"44"
"6","16.997",76.161,28.898,"44"
"6","17.047",76.148,28.898,"44"
"6","17.097",76.164,28.904,"44"
"6","17.147",76.174,28.898,"44"
"6","17.197",76.184,28.904,"44"
"6","17.247",76.16,28.911,"44"
