"","taxa","coral_number","pre_wax_weight_g","post_wax_weight_g","wax_weight_g","CSA_cm2"
"1","Acropora",51,11.2855,11.8792,0.5937,17.6269610645689
"2","Acropora",50,12.3973,13.0542,0.6569,19.3344824429662
"3","Acropora",52,11.8888,12.4426,0.553800000000001,16.5489531057389
"4","Acropora",43,10.6146,11.0578,0.443200000000001,13.5607906935436
"5","Acropora",53,10.1514,10.5493,0.3979,12.3368869207366
"6","Acropora",47,10.705,11.1888,0.4838,14.6577110727039
"7","Acropora",55,13.2624,14.0527,0.7903,22.9386494030643
"8","Acropora",54,14.4226,15.4131,0.990500000000001,28.3476016175445
"9","Acropora",46,10.7249,11.285,0.5601,16.7191648887121
"10","Acropora",48,14.5201,15.5819,1.0618,30.2739667169072
"11","Acropora",41,11.1238,11.7457,0.6219,18.3888614264487
"12","Acropora",56,10.1474,10.6299,0.4825,14.6225880063761
"13","Acropora",44,12.033,12.7119,0.678900000000001,19.9288727962058
"14","Acropora",58,11.3894,12.0254,0.635999999999999,18.7698116073886
"15","Acropora",57,10.0976,10.4663,0.3687,11.5479688155278
"16","Acropora",49,10.3394,10.7708,0.4314,13.2419813222605
"17","Acropora",42,11.3591,11.8425,0.4834,14.6469039753722
"18","Acropora",45,11.3824,12.0006,0.6182,18.2888957761311
"19","Porites",58,26.2863,27.0765,0.790199999999999,22.9359476287314
"20","Porites",50,31.104,31.9943,0.8903,25.6404237359715
"21","Porites",46,31.9678,32.8113,0.843500000000002,24.375993348171
"22","Porites",52,34.111,34.9662,0.855200000000004,24.6921009451212
"23","Porites",53,29.1711,30.2428,1.0717,30.5414423758651
"24","Porites",55,34.4374,35.6355,1.1981,33.9564851326598
"25","Porites",43,29.2329,30.0162,0.783300000000001,22.7495251997608
"26","Porites",51,32.7243,33.6647,0.940400000000004,26.9940126767581
"27","Porites",48,34.5305,35.5612,1.0307,29.433714899373
"28","Porites",57,22.9648,23.7537,0.788899999999998,22.9008245624036
"29","Porites",45,25.0109,25.6192,0.6083,18.0214201171733
"30","Porites",56,26.8262,27.5046,0.6784,19.9153639245412
"31","Porites",47,19.3674,19.9114,0.544,16.284179221114
"32","Porites",44,49.6349,51.196,1.5611,43.7639259611126
"33","Porites",41,21.5876,22.0943,0.506700000000002,15.2764173949397
"34","Porites",42,32.1173,33.0321,0.9148,26.3023584475337
"35","Porites",49,24.3852,25.0301,0.6449,19.0102695230173
"36","Porites",54,22.5457,23.1528,0.607099999999999,17.9889988251784
