"channel","delta_t","value","temp","coral_id"
"4","0.000",46.441,28.738,"57"
"4","0.053",46.433,28.744,"57"
"4","0.103",46.433,28.744,"57"
"4","0.153",46.437,28.744,"57"
"4","0.203",46.441,28.738,"57"
"4","0.252",46.433,28.738,"57"
"4","0.303",46.449,28.738,"57"
"4","0.352",46.441,28.738,"57"
"4","0.403",46.437,28.738,"57"
"4","0.453",46.405,28.744,"57"
"4","0.503",46.413,28.744,"57"
"4","0.552",46.437,28.738,"57"
"4","0.603",46.441,28.738,"57"
"4","0.653",46.425,28.738,"57"
"4","0.703",46.448,28.732,"57"
"4","0.752",46.444,28.732,"57"
"4","0.803",46.397,28.744,"57"
"4","0.853",46.448,28.732,"57"
"4","0.903",46.44,28.732,"57"
"4","0.953",46.444,28.732,"57"
"4","1.003",46.421,28.738,"57"
"4","1.053",46.452,28.732,"57"
"4","1.102",46.471,28.719,"57"
"4","1.152",46.46,28.726,"57"
"4","1.203",46.436,28.732,"57"
"4","1.252",46.428,28.732,"57"
"4","1.303",46.448,28.726,"57"
"4","1.353",46.452,28.726,"57"
"4","1.403",46.428,28.732,"57"
"4","1.452",46.396,28.738,"57"
"4","1.503",46.448,28.726,"57"
"4","1.553",46.424,28.732,"57"
"4","1.603",46.416,28.732,"57"
"4","1.653",46.424,28.732,"57"
"4","1.703",46.42,28.732,"57"
"4","1.753",46.404,28.732,"57"
"4","1.803",46.388,28.738,"57"
"4","1.853",46.416,28.732,"57"
"4","1.903",46.431,28.726,"57"
"4","1.953",46.427,28.726,"57"
"4","2.003",46.415,28.726,"57"
"4","2.053",46.412,28.732,"57"
"4","2.103",46.408,28.732,"57"
"4","2.152",46.419,28.726,"57"
"4","2.203",46.419,28.726,"57"
"4","2.253",46.415,28.726,"57"
"4","2.303",46.392,28.738,"57"
"4","2.353",46.384,28.732,"57"
"4","2.403",46.431,28.726,"57"
"4","2.453",46.407,28.726,"57"
"4","2.502",46.423,28.726,"57"
"4","2.552",46.388,28.732,"57"
"4","2.603",46.435,28.719,"57"
"4","2.652",46.4,28.732,"57"
"4","2.703",46.38,28.732,"57"
"4","2.753",46.392,28.732,"57"
"4","2.803",46.395,28.726,"57"
"4","2.853",46.384,28.732,"57"
"4","2.903",46.356,28.738,"57"
"4","2.953",46.372,28.732,"57"
"4","3.003",46.407,28.726,"57"
"4","3.053",46.403,28.726,"57"
"4","3.103",46.376,28.732,"57"
"4","3.153",46.384,28.732,"57"
"4","3.203",46.411,28.719,"57"
"4","3.253",46.403,28.726,"57"
"4","3.303",46.38,28.732,"57"
"4","3.353",46.399,28.726,"57"
"4","3.403",46.403,28.719,"57"
"4","3.453",46.399,28.719,"57"
"4","3.503",46.391,28.726,"57"
"4","3.553",46.387,28.726,"57"
"4","3.603",46.372,28.732,"57"
"4","3.653",46.383,28.726,"57"
