coral_id,f0,fm,fv_fm,genus,time,date,,,,,,,
49,597,1923,689,acr,18:38,20230619,,,,,,,
49,398,1586,749,acr,18:38,20230619,,,,,,,
49,476,1589,700,acr,18:38,20230619,,,,,,,
42,499,1651,697,acr,18:38,20230619,,,,,,,
42,546,1750,688,acr,18:38,20230619,,,,,,,
42,585,1914,694,acr,18:38,20230619,,,,,,,
44,488,1746,720,acr,18:38,20230619,,,,,,,
44,584,1857,685,acr,18:38,20230619,,,,,,,
44,468,1512,690,acr,18:38,20230619,,,,,,,
55,517,1836,718,acr,18:38,20230619,,,,,,,
55,458,1555,705,acr,18:38,20230619,,,,,,,
55,499,1620,691,acr,18:38,20230619,,,,,,,
56,472,1613,707,acr,18:38,20230619,,,,,,,
56,404,1675,758,acr,18:38,20230619,,,,,,,
56,520,1623,679,acr,18:38,20230619,,,,,,,
41,402,1369,706,acr,18:38,20230619,,,,,,,
41,454,1499,697,acr,18:38,20230619,,,,,,,
41,478,1251,617,acr,18:38,20230619,,,,,,,
48,396,1391,715,acr,18:38,20230619,,,,,,,
48,308,1588,806,acr,18:38,20230619,,,,,,,
48,408,1319,690,acr,18:38,20230619,,,,,,,
54,389,1400,722,acr,18:38,20230619,,,,,,,
54,440,1435,693,acr,18:38,20230619,,,,,,,
54,410,1362,698,acr,18:38,20230619,,,,,,,
58,253,1184,786,acr,18:38,20230619,,,,,,,
58,463,1544,700,acr,18:38,20230619,,,,,,,
58,400,1344,702,acr,18:38,20230619,,,,,,,
47,497,1646,698,acr,18:38,20230619,,,,,,,
47,536,1767,696,acr,18:38,20230619,,,,,,,
47,474,1464,676,acr,18:38,20230619,,,,,,,
57,570,1760,676,acr,18:38,20230619,,,,,,,
57,638,2171,706,acr,18:38,20230619,,,,,,,
57,586,1885,689,acr,18:38,20230619,,,,,,,
43,416,1426,708,acr,18:38,20230619,,,,,,,
43,415,1349,692,acr,18:38,20230619,,,,,,,
43,461,1483,689,acr,18:38,20230619,,,,,,,
53,370,1526,757,acr,18:38,20230619,,,,,,,
53,440,1470,700,acr,18:38,20230619,,,,,,,
53,464,1490,688,acr,18:38,20230619,,,,,,,
51,491,1704,711,acr,18:38,20230619,,,,,,,
51,436,1455,700,acr,18:38,20230619,,,,,,,
51,523,1729,697,acr,18:38,20230619,,,,,,,
52,457,1684,728,acr,18:38,20230619,,,,,,,
52,522,1790,708,acr,18:38,20230619,,,,,,,
52,447,1515,704,acr,18:38,20230619,,,,,,,
46,493,1788,724,acr,18:38,20230619,,,,,,,
46,535,1785,700,acr,18:38,20230619,,,,,,,
46,386,1799,785,acr,18:38,20230619,,,,,,,
45,551,1933,714,acr,18:38,20230619,,,,,,,
45,499,1657,698,acr,18:38,20230619,,,,,,,
45,511,1665,693,acr,18:38,20230619,,,,,,,
50,495,1715,711,acr,18:38,20230619,,,,,,,
50,557,1885,704,acr,18:38,20230619,,,,,,,
50,501,1703,705,acr,18:38,20230619,,,,,,,
50,832,2964,719,por,18:38,20230619,,,,,,,
50,819,2476,669,por,18:38,20230619,,,,,,,
50,1113,3031,632,por,18:38,20230619,,,,,,,
49,837,2042,590,por,18:38,20230619,,,,,,,
49,897,2332,615,por,18:38,20230619,,,,,,,
49,866,2328,628,por,18:38,20230619,,,,,,,
53,892,2958,698,por,18:38,20230619,,,,,,,
53,1085,3087,648,por,18:38,20230619,,,,,,,
53,976,2641,630,por,18:38,20230619,,,,,,,
57,820,2474,668,por,18:38,20230619,,,,,,,
57,880,2520,650,por,18:38,20230619,,,,,,,
57,910,2480,633,por,18:38,20230619,,,,,,,
45,757,2504,697,por,18:38,20230619,,,,,,,
45,1025,2840,639,por,18:38,20230619,,,,,,,
45,898,2603,655,por,18:38,20230619,,,,,,,
