"channel","delta_t","value","temp","coral_id"
"10","0.000",85.9,28.573,"51"
"10","0.055",85.867,28.566,"51"
"10","0.105",85.844,28.579,"51"
"10","0.155",85.803,28.573,"51"
"10","0.205",85.792,28.566,"51"
"10","0.255",85.785,28.554,"51"
"10","0.305",85.759,28.56,"51"
"10","0.355",85.744,28.56,"51"
"10","0.405",85.725,28.566,"51"
"10","0.455",85.695,28.566,"51"
"10","0.505",85.677,28.573,"51"
"10","0.555",85.643,28.566,"51"
"10","0.605",85.647,28.56,"51"
"10","0.655",85.632,28.56,"51"
"10","0.705",85.629,28.554,"51"
"10","0.755",85.61,28.56,"51"
"10","0.805",85.572,28.566,"51"
"10","0.855",85.592,28.554,"51"
"10","0.905",85.599,28.554,"51"
"10","0.955",85.559,28.548,"51"
"10","1.005",85.528,28.56,"51"
"10","1.055",85.555,28.554,"51"
"10","1.105",85.536,28.548,"51"
"10","1.154",85.521,28.548,"51"
"10","1.204",85.499,28.548,"51"
"10","1.255",85.506,28.554,"51"
"10","1.305",85.507,28.535,"51"
"10","1.355",85.488,28.554,"51"
"10","1.405",85.481,28.542,"51"
"10","1.455",85.473,28.542,"51"
"10","1.505",85.447,28.548,"51"
"10","1.555",85.444,28.542,"51"
"10","1.605",85.444,28.542,"51"
"10","1.655",85.455,28.535,"51"
"10","1.705",85.421,28.542,"51"
"10","1.755",85.41,28.548,"51"
"10","1.805",85.407,28.542,"51"
"10","1.855",85.384,28.542,"51"
"10","1.904",85.418,28.535,"51"
"10","1.954",85.384,28.542,"51"
"10","2.005",85.381,28.535,"51"
"10","2.055",85.351,28.535,"51"
"10","2.105",85.396,28.523,"51"
"10","2.155",85.363,28.529,"51"
"10","2.205",85.329,28.535,"51"
"10","2.255",85.329,28.535,"51"
"10","2.305",85.314,28.535,"51"
"10","2.354",85.31,28.535,"51"
"10","2.405",85.318,28.529,"51"
"10","2.454",85.303,28.529,"51"
"10","2.505",85.3,28.523,"51"
"10","2.555",85.303,28.529,"51"
"10","2.605",85.297,28.517,"51"
"10","2.655",85.289,28.529,"51"
"10","2.705",85.266,28.529,"51"
"10","2.755",85.259,28.529,"51"
"10","2.805",85.278,28.523,"51"
"10","2.855",85.262,28.529,"51"
"10","2.905",85.27,28.523,"51"
"10","2.954",85.226,28.523,"51"
"10","3.005",85.256,28.523,"51"
"10","3.055",85.218,28.535,"51"
"10","3.105",85.233,28.523,"51"
"10","3.155",85.196,28.523,"51"
"10","3.205",85.2,28.529,"51"
"10","3.255",85.204,28.523,"51"
"10","3.305",85.193,28.517,"51"
"10","3.355",85.156,28.529,"51"
"10","3.405",85.212,28.511,"51"
"10","3.454",85.186,28.517,"51"
"10","3.504",85.164,28.517,"51"
"10","3.555",85.167,28.523,"51"
"10","3.605",85.149,28.517,"51"
"10","3.655",85.149,28.517,"51"
"10","3.705",85.145,28.511,"51"
"10","3.755",85.138,28.511,"51"
"10","3.805",85.142,28.504,"51"
"10","3.855",85.149,28.504,"51"
"10","3.905",85.142,28.504,"51"
"10","3.954",85.116,28.511,"51"
"10","4.005",85.131,28.498,"51"
"10","4.055",85.135,28.504,"51"
"10","4.105",85.108,28.511,"51"
"10","4.155",85.072,28.511,"51"
"10","4.205",85.086,28.511,"51"
"10","4.255",85.068,28.504,"51"
"10","4.305",85.094,28.498,"51"
"10","4.355",85.079,28.498,"51"
"10","4.405",85.079,28.498,"51"
"10","4.455",85.061,28.504,"51"
"10","4.505",85.061,28.504,"51"
"10","4.555",85.047,28.492,"51"
"10","4.605",85.046,28.504,"51"
"10","4.655",85.061,28.492,"51"
"10","4.705",85.031,28.504,"51"
"10","4.755",85.028,28.498,"51"
"10","4.805",85.016,28.504,"51"
"10","4.855",85.02,28.498,"51"
"10","4.905",85.05,28.486,"51"
"10","4.955",85.014,28.486,"51"
"10","5.005",85.016,28.498,"51"
"10","5.055",85.002,28.492,"51"
"10","5.105",85.014,28.486,"51"
"10","5.154",84.984,28.486,"51"
"10","5.205",84.992,28.486,"51"
"10","5.255",84.958,28.492,"51"
"10","5.305",84.951,28.492,"51"
"10","5.354",84.932,28.498,"51"
"10","5.405",84.973,28.492,"51"
"10","5.455",84.932,28.498,"51"
"10","5.505",84.936,28.492,"51"
"10","5.554",84.936,28.492,"51"
"10","5.605",84.951,28.492,"51"
"10","5.655",84.94,28.486,"51"
"10","5.705",84.914,28.492,"51"
"10","5.755",84.929,28.492,"51"
"10","5.804",84.903,28.486,"51"
"10","5.855",84.922,28.48,"51"
"10","5.905",84.915,28.467,"51"
"10","5.955",84.903,28.486,"51"
"10","6.005",84.881,28.486,"51"
"10","6.054",84.881,28.486,"51"
"10","6.105",84.885,28.492,"51"
"10","6.155",84.892,28.48,"51"
"10","6.204",84.87,28.48,"51"
"10","6.255",84.859,28.486,"51"
"10","6.305",84.87,28.48,"51"
"10","6.354",84.878,28.48,"51"
"10","6.405",84.822,28.486,"51"
"10","6.455",84.808,28.486,"51"
"10","6.505",84.848,28.48,"51"
"10","6.555",84.826,28.48,"51"
"10","6.605",84.822,28.486,"51"
"10","6.654",84.834,28.48,"51"
"10","6.705",84.83,28.486,"51"
"10","6.755",84.822,28.486,"51"
"10","6.805",84.815,28.486,"51"
"10","6.854",84.83,28.474,"51"
"10","6.905",84.816,28.474,"51"
"10","6.955",84.812,28.48,"51"
"10","7.005",84.785,28.498,"51"
"10","7.055",84.774,28.492,"51"
"10","7.104",84.775,28.48,"51"
"10","7.154",84.786,28.486,"51"
"10","7.204",84.764,28.486,"51"
"10","7.255",84.745,28.48,"51"
"10","7.305",84.764,28.486,"51"
"10","7.355",84.768,28.48,"51"
"10","7.405",84.76,28.48,"51"
"10","7.455",84.801,28.474,"51"
"10","7.505",84.76,28.48,"51"
"10","7.554",84.76,28.48,"51"
"10","7.605",84.727,28.486,"51"
"10","7.655",84.768,28.48,"51"
"10","7.705",84.731,28.48,"51"
"10","7.754",84.771,28.474,"51"
"10","7.805",84.709,28.48,"51"
"10","7.855",84.723,28.48,"51"
"10","7.905",84.709,28.48,"51"
"10","7.955",84.712,28.486,"51"
"10","8.004",84.698,28.486,"51"
"10","8.055",84.701,28.48,"51"
"10","8.105",84.716,28.48,"51"
"10","8.155",84.705,28.486,"51"
"10","8.205",84.705,28.474,"51"
"10","8.254",84.694,28.48,"51"
"10","8.305",84.713,28.474,"51"
"10","8.355",84.687,28.48,"51"
"10","8.405",84.705,28.474,"51"
"10","8.455",84.669,28.474,"51"
"10","8.505",84.657,28.492,"51"
"10","8.555",84.654,28.486,"51"
"10","8.604",84.683,28.474,"51"
"10","8.655",84.683,28.474,"51"
"10","8.705",84.661,28.486,"51"
"10","8.755",84.654,28.486,"51"
"10","8.804",84.668,28.486,"51"
"10","8.855",84.657,28.48,"51"
"10","8.905",84.65,28.48,"51"
"10","8.954",84.654,28.474,"51"
"10","9.005",84.654,28.474,"51"
"10","9.055",84.621,28.48,"51"
"10","9.105",84.624,28.486,"51"
"10","9.154",84.654,28.474,"51"
"10","9.205",84.624,28.486,"51"
"10","9.255",84.657,28.48,"51"
"10","9.305",84.613,28.48,"51"
"10","9.355",84.621,28.48,"51"
"10","9.404",84.617,28.486,"51"
"10","9.455",84.617,28.486,"51"
"10","9.505",84.613,28.48,"51"
"10","9.555",84.606,28.48,"51"
"10","9.604",84.625,28.474,"51"
"10","9.655",84.621,28.48,"51"
"10","9.705",84.625,28.474,"51"
"10","9.755",84.61,28.474,"51"
"10","9.805",84.602,28.486,"51"
